policy,k,bmax,total_waves,wave_index,measurement_phase,start_request,stop_request,wave_batch_size,is_full_wave,is_partial_wave,prompt_tokens,generated_tokens,prefill_wall_seconds,decode_wall_seconds,e2e_wall_seconds,prefill_prompt_tokens_per_second,decode_tokens_per_second,e2e_total_tokens_per_second,prefill_expert_h2d_fetches,decode_expert_h2d_fetches
permanent_k,80,2,100,26,steady_state,52,54,2,True,False,8192,256,1.2502103120204993,23.597323003981728,24.847533316002227,6552.497544801629,10.848688215896502,339.9935073055862,2169,6286
permanent_k,80,2,100,27,steady_state,54,56,2,True,False,8192,256,1.2294423200073652,24.343209598970134,25.5726519189775,6663.183678231382,10.51627966144737,330.3529108661088,2048,9981
permanent_k,80,2,100,28,steady_state,56,58,2,True,False,8192,256,1.2364008119911887,24.268147355003748,25.504548166994937,6625.683128440376,10.548806888928686,331.23503873448084,2076,14623
permanent_k,80,2,100,29,steady_state,58,60,2,True,False,8192,256,1.2200548049877398,22.45913033897523,23.679185143962968,6714.452470913649,11.398482315931064,356.76903358956275,1775,2087
permanent_k,80,2,100,30,steady_state,60,62,2,True,False,8192,256,1.182125076011289,22.143338949012104,23.325464025023393,6929.892755207715,11.561038766080989,362.1792900212851,1718,1360
permanent_k,80,2,100,31,steady_state,62,64,2,True,False,8192,256,1.2692766140098684,24.981966522987932,26.2512431369978,6454.069908465444,10.247391844210249,321.8133311215885,2226,20135
permanent_k,80,2,100,32,steady_state,64,66,2,True,False,8192,256,1.2668033479712903,23.35121147299651,24.6180148209678,6466.670626596462,10.963028633269843,343.16333227667974,2222,4632
permanent_k,80,2,100,33,steady_state,66,68,2,True,False,8192,256,1.265426789992489,24.37143623898737,25.63686302897986,6473.705207433315,10.504099860576652,329.52549578512776,2109,10801
permanent_k,80,2,100,34,steady_state,68,70,2,True,False,8192,256,1.2359113190323114,23.540099732985254,24.776011052017566,6628.307285359388,10.875060127348712,340.97498512828844,2017,5712
permanent_k,80,2,100,35,steady_state,70,72,2,True,False,8192,256,1.155181748967152,24.0068181270035,25.16199987597065,7091.524781554475,10.663637248621653,335.7443780956266,1715,8040
permanent_k,80,2,100,36,steady_state,72,74,2,True,False,8192,256,1.2397428749827668,24.0862353790435,25.325978254026268,6607.821803463782,10.628477052197857,333.5705304357574,2012,5156
permanent_k,80,2,100,37,steady_state,74,76,2,True,False,8192,256,1.2299236319959164,23.073643284966238,24.303566916962154,6660.576142200021,11.09491018987878,347.6032974445368,2026,2490
permanent_k,80,2,100,38,steady_state,76,78,2,True,False,8192,256,1.1602833700017072,23.78045204997761,24.94073541997932,7060.344232967802,10.765144390946976,338.72297098475076,1716,3301
permanent_k,80,2,100,39,steady_state,78,80,2,True,False,8192,256,1.2570413299836218,25.592684418952558,26.84972574893618,6516.889941961364,10.002858465695777,314.6400853027231,2157,33894
permanent_k,80,2,100,40,steady_state,80,82,2,True,False,8192,256,1.2265655109658837,23.794023526017554,25.020589036983438,6678.811630329508,10.759004239870446,337.6419311117273,2121,4919
permanent_k,80,2,100,41,steady_state,82,84,2,True,False,8192,256,1.1915154110174626,24.49701388599351,25.688529297010973,6875.2782584697425,10.450253291743913,328.86273489323423,1940,13020
permanent_k,80,2,100,42,steady_state,84,86,2,True,False,8192,256,1.2390729080070741,25.43156545999227,26.670638367999345,6611.394654069242,10.06623050408466,316.75282321462157,2107,21277
permanent_k,80,2,100,43,steady_state,86,88,2,True,False,8192,256,1.244244197034277,23.901391181978397,25.145635379012674,6583.9165812676265,10.71067361940938,335.96287676432956,2036,4749
permanent_k,80,2,100,44,steady_state,88,90,2,True,False,8192,256,1.3187415289576165,23.88253702397924,25.201278552936856,6211.983030878893,10.71912920067761,335.2210873846916,2271,7090
permanent_k,80,2,100,45,steady_state,90,92,2,True,False,8192,256,1.2656374539947137,24.4253883829806,25.691025836975314,6472.627666116948,10.480897825902273,328.8307774709945,2060,11904
permanent_k,80,2,100,46,steady_state,92,94,2,True,False,8192,256,1.2438481210265309,24.082391211006325,25.326239332032856,6586.013084329986,10.630173630058831,333.5670917914328,2041,5527
permanent_k,80,2,100,47,steady_state,94,96,2,True,False,8192,256,1.1623832719633356,23.80444096197607,24.966824233939406,7047.58937743763,10.754295822738312,338.3690260660367,1730,3253
permanent_k,80,2,100,48,steady_state,96,98,2,True,False,8192,256,1.2778477019746788,26.739640278043225,28.017487980017904,6410.779615865623,9.573801193212379,301.5259614289875,2175,44083
permanent_k,80,2,100,49,steady_state,98,100,2,True,False,8192,256,1.1951949299545959,24.14981422794517,25.345009157899767,6854.112073844895,10.60049562218857,333.32006105694575,1862,12014
permanent_k,80,2,100,50,steady_state,100,102,2,True,False,8192,256,1.254756041977089,24.935464297013823,26.190220338990912,6528.759157909343,10.266502237564415,322.56315107906784,2070,15011
permanent_k,80,2,100,51,steady_state,102,104,2,True,False,8192,256,1.2471468460280448,24.461842495016754,25.7089893410448,6568.592965688168,10.465278731647098,328.6010153076161,2026,10241
permanent_k,80,2,100,52,steady_state,104,106,2,True,False,8192,256,1.256258091016207,25.1046028760029,26.360860967019107,6520.953025960902,10.197333184852186,320.4751169003757,2161,19552
