policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
permanent_k,2,50,0,750647,13234,737413,737413,126,737287,0,0.017630124412673333,6959102164992,0.01763012441267331
permanent_k,2,50,1,750519,13275,737244,737244,126,737118,0,0.01768776007003154,6957507280896,0.01768776007003159
permanent_k,2,50,2,695582,13295,682287,682287,126,682161,0,0.019113490573361588,6438867959808,0.019113490573361536
permanent_k,2,50,3,731407,13239,718168,718168,126,718042,0,0.01810072914259776,6777483558912,0.01810072914259775
permanent_k,2,50,4,707788,13298,694490,694490,126,694364,0,0.018788111694462182,6554029916160,0.01878811169446215
permanent_k,2,50,5,713851,13255,700596,700596,126,700470,0,0.018568300667786416,6611653361664,0.018568300667786364
permanent_k,2,50,6,711032,13267,697765,697765,126,697639,0,0.018658794540892674,6584936693760,0.018658794540892698
permanent_k,2,50,7,710291,13288,697003,697003,126,696877,0,0.018707825384243922,6577745559552,0.01870782538424387
permanent_k,2,50,8,731917,13284,718633,718633,126,718507,0,0.018149598929933314,6781871849472,0.018149598929933286
permanent_k,2,50,9,716962,13302,703660,703660,126,703534,0,0.01855328455343519,6640568893440,0.01855328455343519
permanent_k,2,50,10,715058,13298,701760,701760,126,701634,0,0.018597092823239514,6622638243840,0.018597092823239514
permanent_k,2,50,11,723738,13297,710441,710441,126,710315,0,0.018372670773125082,6704562438144,0.0183726707731251
permanent_k,2,50,12,702847,13284,689563,689563,126,689437,0,0.018900272747838433,6507532910592,0.018900272747838454
permanent_k,2,50,13,691573,13305,678268,678268,126,678142,0,0.01923874992227863,6400939917312,0.019238749922278586
permanent_k,2,50,14,696640,13310,683330,683330,126,683204,0,0.019105994487827287,6448710942720,0.019105994487827238
permanent_k,2,50,15,710387,13297,697090,697090,126,696964,0,0.018717966404227553,6578566594560,0.018717966404227515
permanent_k,2,50,16,677709,13307,664402,664402,126,664276,0,0.019635271185715404,6270083923968,0.019635271185715397
permanent_k,2,50,17,668368,13295,655073,655073,126,654947,0,0.019891736288990495,6182044434432,0.019891736288990547
permanent_k,2,50,18,696935,13311,683624,683624,126,683498,0,0.0190993421194229,6451485474816,0.01909934211942288
permanent_k,2,50,19,706924,13296,693628,693628,126,693502,0,0.018808245299353255,6545895063552,0.01880824529935321
