policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
quota_lru_k,8,40,35,794747,0,794747,794747,128,794619,794739,794747,0,0.0,7500173672448,0.0
quota_lru_k,8,40,36,781106,0,781106,781106,128,780978,781098,781106,0,0.0,7371441045504,0.0
quota_lru_k,8,40,37,768246,0,768246,768246,128,768118,768238,768246,0,0.0,7250078859264,0.0
quota_lru_k,8,40,38,776922,0,776922,776922,128,776794,776914,776922,0,0.0,7331955867648,0.0
quota_lru_k,8,40,39,783331,0,783331,783331,128,783203,783323,783331,0,0.0,7392438779904,0.0
quota_lru_k,8,40,40,764502,0,764502,764502,128,764374,764494,764502,0,0.0,7214746042368,0.0
quota_lru_k,8,40,41,745064,0,745064,745064,128,744936,745056,745064,0,0.0,7031306059776,0.0
quota_lru_k,8,40,42,737151,0,737151,737151,127,737024,737143,737151,0,0.0,6956629622784,0.0
quota_lru_k,8,40,43,733987,0,733987,733987,125,733862,733979,733987,0,0.0,6926770372608,0.0
quota_lru_k,8,40,44,739696,0,739696,739696,126,739570,739688,739696,0,0.0,6980647256064,0.0
quota_lru_k,8,40,45,731526,0,731526,731526,128,731398,731518,731526,0,0.0,6903545462784,0.0
quota_lru_k,8,40,46,752250,0,752250,752250,126,752124,752242,752250,0,0.0,7099121664000,0.0
quota_lru_k,8,40,47,746547,0,746547,746547,121,746426,746539,746547,0,0.0,7045301403648,0.0
quota_lru_resident_hit_first,8,40,0,835525,55334,780191,780191,128,780063,780183,780191,0,0.0662266239789354,7362806022144,0.06622662397893542
quota_lru_resident_hit_first,8,40,1,833321,55614,777707,777707,128,777579,777699,777707,0,0.06673778771925824,7339364057088,0.0667377877192582
quota_lru_resident_hit_first,8,40,2,771712,56653,715059,715059,128,714931,715051,715059,0,0.07341210192403384,6748143353856,0.0734121019240338
quota_lru_resident_hit_first,8,40,3,812190,53654,758536,758536,128,758408,758528,758536,0,0.06606089708073234,7158443802624,0.06606089708073237
quota_lru_resident_hit_first,8,40,4,783878,54649,729229,729229,128,729101,729221,729229,0,0.06971620583815338,6881868251136,0.06971620583815341
quota_lru_resident_hit_first,8,40,5,789848,55330,734518,734518,128,734390,734510,734518,0,0.07005145293778044,6931781517312,0.07005145293778048
quota_lru_resident_hit_first,8,40,6,785541,55071,730470,730470,128,730342,730462,730470,0,0.07010582515743927,6893579796480,0.07010582515743924
quota_lru_resident_hit_first,8,40,7,785500,52273,733227,733227,128,733099,733219,733227,0,0.06654742202418841,6919598112768,0.0665474220241884
quota_lru_resident_hit_first,8,40,8,811106,53669,757437,757437,128,757309,757429,757437,0,0.06616767722097974,7148072337408,0.06616767722097971
quota_lru_resident_hit_first,8,40,9,792899,54079,738820,738820,128,738692,738812,738820,0,0.06820414706034438,6972380282880,0.06820414706034439
quota_lru_resident_hit_first,8,40,10,790926,52438,738488,738488,128,738360,738480,738488,0,0.06629950210259873,6969247137792,0.06629950210259872
quota_lru_resident_hit_first,8,40,11,802109,53809,748300,748300,128,748172,748292,748300,0,0.06708439875378533,7061844787200,0.06708439875378536
quota_lru_resident_hit_first,8,40,12,775408,52606,722802,722802,128,722674,722794,722802,0,0.06784299362400181,6821215469568,0.06784299362400181
quota_lru_resident_hit_first,8,40,13,765542,52204,713338,713338,128,713210,713330,713338,0,0.06819220891864848,6731901960192,0.06819220891864852
quota_lru_resident_hit_first,8,40,14,769261,51375,717886,717886,128,717758,717878,717886,0,0.06678487535439857,6774822273024,0.06678487535439859
quota_lru_resident_hit_first,8,40,15,783090,53626,729464,729464,128,729336,729456,729464,0,0.06847999591362423,6884085989376,0.06847999591362419
quota_lru_resident_hit_first,8,40,16,751494,56399,695095,695095,128,694967,695087,695095,0,0.07504916872257131,6559739412480,0.07504916872257128
quota_lru_resident_hit_first,8,40,17,735616,51762,683854,683854,128,683726,683846,683854,0,0.0703655167913694,6453656027136,0.07036551679136938
quota_lru_resident_hit_first,8,40,18,768731,54091,714640,714640,128,714512,714632,714640,0,0.07036401550087092,6744189173760,0.0703640155008709
